 ,Distriubted,CFFL,contri_v_final
P5,0.14629637858590896,0.8121626057184788,0.806558552798214
P20,-0.09638253320320374,0.731515759985488,0.6922106594348691
P10,-0.3124013281163662,0.8753086093330984,0.8750449045159758
