,P10_0.1,P5_1.0,P5_0.1,P10_1.0,P20_1.0,P20_0.1
Distributed,79.41304552555084,78.48384809494019,77.16021180152892,80.50737810134888,81.66245794296265,80.89090818166733
Standalone,77.05668330192566,76.85989141464233,76.36363387107849,77.715505361557,78.07486534118652,77.91229844093323
CFFL,79.50374007225037,78.35721731185913,78.02780628204346,80.18395662307739,80.82138776779175,80.15828847885132
