,P20_0.1,P10_1.0,P5_1.0,P10_0.1,P20_1.0,P5_0.1
Distributed,80.86566680669783,80.49668312072754,78.55999779701233,79.65176296234131,81.70310026407242,77.40577435493469
Standalone,78.02780628204346,77.72834062576294,76.53903603553772,77.62994527816772,77.91229724884033,76.65026545524597
CFFL,79.97860670089722,80.07700443267822,78.37860703468323,79.7176444530487,80.7486617565155,78.1005334854126
