 ,Distriubted,CFFL,Contributions_V_final
P20_0.1,0.3848105068141483,0.7321736417680341,0.7447359123449487
P10_1.0,-0.002083122070528129,0.6337070524472378,0.7218874425009094
P5_1.0,0.06373740251960812,-0.0003842686865413336,0.21767730154302808
P10_0.1,-0.1773857440235044,0.6951280090186529,0.7466211532328833
P20_1.0,0.07147197931174391,0.4962263532284972,0.48138372879738156
P5_0.1,,0.34219176487625813,0.4941593129741104
